Time (min),Temperature (degC),Weight (mg),Heat Flow (mW),Temperature Difference (degC),Temperature Difference (muV),Sample Purge Flow (mL/min)
0.002555556,50.50644,14.68787,-8.032394,-0.1231909,-0.596403,142.5301
0.004166667,50.48791,14.68786,-8.0306,-0.1230002,-0.5954505,99.80156
0.0125,50.47588,14.68778,-8.029014,-0.1228374,-0.594633,100.0053
0.02083334,50.45754,14.68767,-8.027338,-0.1226627,-0.593758,100.0219
0.02916666,50.44228,14.68762,-8.025613,-0.1224822,-0.5928545,100.0249
0.0375,50.43224,14.68761,-8.023766,-0.1222854,-0.5918722,99.96754
0.04583334,50.42018,14.68761,-8.021578,-0.1220417,-0.5906634,100.0117
0.05416668,50.40795,14.68761,-8.019849,-0.1218574,-0.5897436,99.9965
0.0625,50.39386,14.68765,-8.01832,-0.1216999,-0.5889536,100.0101
0.07083332,50.37732,14.6877,-8.017069,-0.1215796,-0.5883438,99.98751
0.07916666,50.3636,14.68774,-8.01596,-0.1214805,-0.5878351,100.0034
0.0875,50.35509,14.68779,-8.014558,-0.1213401,-0.587128,99.98476
0.09583332,50.33891,14.68789,-8.012474,-0.1211077,-0.5859764,100.0073
0.1041666,50.33047,14.68806,-8.011165,-0.1209777,-0.5853209,100.0194
0.1125,50.31272,14.68822,-8.01,-0.1208667,-0.5847576,99.96484
0.1208333,50.30176,14.68834,-8.0084,-0.1206972,-0.5839113,99.98994
0.1291666,50.29219,14.68843,-8.007421,-0.12061,-0.5834639,100.001
0.1375,50.2815,14.68847,-8.005942,-0.1204568,-0.5826969,100.0268
0.1458333,50.26639,14.68847,-8.004144,-0.1202593,-0.5817163,100.0072
0.1541667,50.25704,14.68851,-8.002216,-0.1200434,-0.580647,99.9734
0.1625,50.24584,14.68856,-8.000544,-0.1198606,-0.5797392,99.9903
0.1708334,50.23364,14.6886,-7.9987,-0.1196551,-0.5787207,100.01
0.1791666,50.22053,14.68867,-7.99715,-0.1194888,-0.5778929,100.0156
0.1875,50.21519,14.68871,-7.994972,-0.1192372,-0.5766524,100.0043
0.1958334,50.20446,14.68867,-7.992548,-0.1189503,-0.575243,99.99882
0.2041667,50.19649,14.68863,-7.990451,-0.1187056,-0.5740386,100.0344
0.2125,50.18474,14.68863,-7.987762,-0.1183824,-0.5724541,99.9998
