Time (min),Temperature (degC),Weight (mg),Heat Flow (mW),Temperature Difference (degC),Temperature Difference (muV),Sample Purge Flow (mL/min)
0.001555556,50.43435,11.48318,-8.543484,-0.19202,-0.9294053,199.6064
0.004166667,50.42174,11.48315,-8.543129,-0.1920245,-0.9293824,161.0005
0.0125,50.40598,11.48311,-8.542982,-0.192058,-0.9294986,99.86705
0.02083334,50.39136,11.48299,-8.542625,-0.1920625,-0.9294754,100.0099
0.02916666,50.38148,11.48276,-8.541947,-0.1920238,-0.9292437,100.0015
0.0375,50.36816,11.48246,-8.540848,-0.191928,-0.9287353,100.0064
0.04583334,50.35187,11.48213,-8.539459,-0.1917934,-0.92804,99.99899
0.05416668,50.33803,11.48179,-8.538269,-0.1916861,-0.9274762,100.0025
0.0625,50.32391,11.48144,-8.537176,-0.1915928,-0.9269788,100.0154
0.07083332,50.31363,11.4811,-8.535903,-0.1914745,-0.9263611,99.97622
0.07916666,50.3024,11.48079,-8.535069,-0.1914126,-0.9260188,100.0094
0.0875,50.2912,11.48049,-8.534136,-0.1913371,-0.925611,100.0169
0.09583332,50.28444,11.4802,-8.533094,-0.191243,-0.9251166,99.96345
0.1041666,50.2647,11.48002,-8.531796,-0.191116,-0.9244618,100.0078
0.1125,50.25902,11.47992,-8.53087,-0.191038,-0.9240451,100.0156
0.1208333,50.24425,11.47986,-8.529955,-0.1909613,-0.923635,100.012
0.1291666,50.23482,11.47984,-8.529181,-0.1909022,-0.9233108,99.985
0.1375,50.22317,11.47984,-8.528022,-0.1907904,-0.9227326,100.0251
0.1458333,50.21226,11.47985,-8.526932,-0.1906863,-0.9221932,99.99562
0.1541667,50.21074,11.47984,-8.524978,-0.1904635,-0.921082,99.99348
0.1625,50.20328,11.47981,-8.522303,-0.1901416,-0.9194938,100.0048
0.1708334,50.18654,11.47983,-8.519116,-0.1897516,-0.9175757,100.0002
0.1791666,50.17974,11.47988,-8.515878,-0.189357,-0.9156334,100.0204
0.1875,50.17434,11.47991,-8.512801,-0.1889785,-0.9137734,100.0288
0.1958334,50.1662,11.47996,-8.509015,-0.1885046,-0.9114528,99.98934
0.2041667,50.16104,11.48002,-8.505286,-0.1880359,-0.9091593,99.98816
0.2125,50.15776,11.48005,-8.500692,-0.1874483,-0.9062934,99.98681
0.2208333,50.15039,11.48009,-8.496186,-0.1868705,-0.9034764,99.99959
0.2291667,50.14769,11.48015,-8.491125,-0.186216,-0.900291,99.9975
0.2375,50.14282,11.48026,-8.486428,-0.1856098,-0.8973392,100.0038
0.2458334,50.14372,11.48037,-8.481618,-0.1849872,-0.8943095,100.0192
0.2541666,50.1412,11.48045,-8.476938,-0.1843773,-0.8913456,100.0198
0.2625,50.1402,11.48049,-8.47148,-0.1836587,-0.8878594,99.96732
0.2708334,50.1414,11.48052,-8.465853,-0.1829174,-0.8842636,100.0002
0.2791667,50.14123,11.48052,-8.460534,-0.1822126,-0.8808484,99.99751
0.2875,50.14707,11.48051,-8.454688,-0.1814337,-0.8770774,99.99864
0.2958333,50.14743,11.48054,-8.449075,-0.1806846,-0.873452,100.018
0.3041667,50.15134,11.48057,-8.442714,-0.179831,-0.8693244,99.99928
0.3125,50.154,11.48058,-8.436151,-0.1789474,-0.8650545,100.0089
0.3208333,50.16067,11.4806,-8.428728,-0.1779452,-0.8602136,100.0028
0.3291667,50.1714,11.48066,-8.421272,-0.1769342,-0.8553334,99.98349
0.3375,50.17175,11.48072,-8.413609,-0.1758945,-0.850315,100.0199
0.3458333,50.18076,11.48077,-8.406007,-0.1748596,-0.8453231,99.98397
0.3541666,50.18628,11.48084,-8.397694,-0.1737253,-0.8398524,99.99822
0.3625,50.20234,11.48093,-8.389278,-0.1725751,-0.8343072,100.005
0.3708334,50.21456,11.48101,-8.38093,-0.17143,-0.8287895,99.96566
0.3791666,50.2268,11.4811,-8.372382,-0.1702541,-0.8231259,100.0092
0.3875,50.23889,11.48118,-8.364234,-0.169128,-0.817705,100.0322
0.3958334,50.2525,11.48126,-8.355575,-0.1679305,-0.8119415,99.99595
0.4041666,50.27019,11.48131,-8.34731,-0.1667814,-0.806415,100.0024
0.4125,50.2906,11.48133,-8.339322,-0.165667,-0.8010578,99.99236
0.4208333,50.30656,11.48135,-8.330772,-0.1644701,-0.7953066,99.99082
0.4291667,50.32154,11.48136,-8.32169,-0.1632003,-0.7892032,99.98559
0.4375,50.3419,11.48139,-8.312928,-0.1619696,-0.7832913,100.0085
0.4458333,50.37242,11.48141,-8.303778,-0.1606799,-0.7770989,100.0183
0.4541667,50.3932,11.48146,-8.295006,-0.1594388,-0.7711426,100.0325
0.4625,50.41951,11.48148,-8.285309,-0.1580681,-0.7645625,99.97026
0.4708334,50.44589,11.48151,-8.275316,-0.1566536,-0.7577729,100.008
0.4791666,50.47738,11.48156,-8.26578,-0.155294,-0.7512526,99.99642
0.4875,50.50102,11.48162,-8.256408,-0.1539532,-0.744825,99.97559
0.4958334,50.52835,11.48169,-8.246826,-0.1525815,-0.7382488,100.0287
0.5041666,50.56142,11.48176,-8.237561,-0.1512486,-0.7318616,99.95106
0.5125,50.59739,11.4818,-8.228124,-0.1498857,-0.7253335,99.99342
0.5208332,50.62842,11.48185,-8.218197,-0.1484515,-0.7184628,99.9998
0.5291666,50.66508,11.48192,-8.208881,-0.1470974,-0.7119805,100.0039
0.5375,50.69975,11.48199,-8.199387,-0.1457146,-0.705361,100.0129
0.5458334,50.73965,11.48207,-8.189988,-0.1443415,-0.6987895,99.99652
0.5541668,50.785,11.48216,-8.18075,-0.1429827,-0.6922906,99.99351
0.5625,50.81644,11.48221,-8.171187,-0.1415795,-0.685576,100.0074
0.5708332,50.8625,11.48224,-8.1616,-0.140168,-0.678823,99.99894
0.5791666,50.90974,11.48228,-8.151634,-0.1386975,-0.6717888,99.95155
0.5875,50.95098,11.48233,-8.141694,-0.1372276,-0.6647571,100.0342
0.5958334,50.99792,11.48239,-8.1323,-0.135827,-0.6580626,100.0227
0.6041668,51.04382,11.48244,-8.122975,-0.134432,-0.6513951,99.94581
0.6125,51.09951,11.48248,-8.112884,-0.1329278,-0.6442011,100.0148
0.6208334,51.15074,11.48252,-8.102734,-0.1314111,-0.6369478,100.0209
0.6291666,51.20496,11.48256,-8.092766,-0.1299126,-0.6297844,100.0531
0.6375,51.25922,11.48258,-8.082826,-0.1284155,-0.6226272,99.93524
0.6458332,51.3146,11.48262,-8.07365,-0.1270139,-0.6159355,100.0081
0.6541666,51.37272,11.48265,-8.064594,-0.1256229,-0.6092968,100.036
0.6625,51.43133,11.48268,-8.055001,-0.1241579,-0.6022976,99.98445
0.6708334,51.48873,11.48273,-8.045394,-0.122685,-0.5952615,100.0264
0.6791668,51.5493,11.48279,-8.035776,-0.1212068,-0.5881994,99.99571
0.6875,51.6154,11.48284,-8.026147,-0.119721,-0.5811016,99.97941
0.6958332,51.67739,11.48291,-8.01681,-0.1182718,-0.5741802,100.0109
