Time (min),Temperature (degC),Weight (mg),Heat Flow (mW),Temperature Difference (degC),Temperature Difference (muV),Sample Purge Flow (mL/min)
5.56E-04,49.31304,15.65369,-8.746774,-1.332863,-8.28247,199.9351
0.004166667,49.2991,15.65362,-8.74762,-1.333094,-8.283515,199.2084
0.0125,49.28622,15.65352,-8.748206,-1.333293,-8.284353,101.9206
0.02083334,49.27516,15.65346,-8.748359,-1.333433,-8.284832,99.87294
0.02916666,49.2604,15.65338,-8.748869,-1.333621,-8.285605,100.0304
0.0375,49.25102,15.65327,-8.74975,-1.333852,-8.286665,99.98562
0.04583334,49.2364,15.65319,-8.750516,-1.334071,-8.287634,99.96125
0.05416668,49.22136,15.65328,-8.751739,-1.334351,-8.288984,100.0371
0.0625,49.20824,15.65347,-8.752888,-1.334618,-8.290264,100.0166
0.07083332,49.1985,15.65361,-8.754132,-1.334894,-8.29161,99.97881
0.07916666,49.18324,15.65374,-8.755085,-1.335132,-8.292719,99.99428
0.0875,49.16637,15.65391,-8.756434,-1.335425,-8.294158,100.0381
0.09583332,49.16025,15.65405,-8.758232,-1.335773,-8.295953,99.99218
0.1041666,49.14984,15.65418,-8.759955,-1.336109,-8.297681,99.98826
0.1125,49.13546,15.65434,-8.761284,-1.336392,-8.299084,99.97657
0.1208333,49.12446,15.65455,-8.762891,-1.336715,-8.300722,99.99288
0.1291666,49.11794,15.65469,-8.764294,-1.337007,-8.302179,100.0419
0.1375,49.10934,15.65468,-8.765176,-1.337224,-8.303195,100.0768
0.1458333,49.09821,15.65462,-8.765601,-1.337376,-8.303828,99.9117
0.1541667,49.08944,15.65461,-8.766241,-1.337554,-8.304626,100.0062
0.1625,49.07797,15.65456,-8.767059,-1.337757,-8.305572,99.99501
0.1708334,49.07142,15.65451,-8.7677,-1.337928,-8.306351,100.0011
0.1791666,49.05637,15.6545,-8.767969,-1.338052,-8.306832,99.97964
0.1875,49.05512,15.65451,-8.768422,-1.338199,-8.30746,100.0173
0.1958334,49.05044,15.65446,-8.769149,-1.338372,-8.308276,99.99031
0.2041667,49.04326,15.65436,-8.768859,-1.338408,-8.308258,100.015
0.2125,49.03388,15.65434,-8.768719,-1.338461,-8.308358,99.99786
0.2208333,49.03104,15.65441,-8.768824,-1.338546,-8.308653,99.99482
0.2291667,49.02935,15.65447,-8.768794,-1.338608,-8.308824,99.97181
0.2375,49.022,15.65442,-8.768035,-1.338568,-8.30838,100.0592
0.2458334,49.01991,15.65436,-8.766975,-1.338483,-8.307678,99.99156
0.2541666,49.01855,15.65431,-8.765976,-1.338402,-8.30701,99.99461
0.2625,49.01729,15.65416,-8.764924,-1.338303,-8.30627,99.98445
0.2708334,49.02221,15.65394,-8.763587,-1.338158,-8.305274,99.97778
0.2791667,49.01664,15.65381,-8.761719,-1.337945,-8.303847,100.0045
0.2875,49.01727,15.65378,-8.760214,-1.337772,-8.302694,100.027
0.2958333,49.0232,15.65372,-8.758606,-1.337576,-8.301431,99.96249
0.3041667,49.02445,15.65361,-8.756861,-1.337354,-8.300032,99.99116
0.3125,49.02364,15.65354,-8.755051,-1.337122,-8.298575,100.0265
