Time (min),Temperature (degC),Weight (mg),Heat Flow (mW),Temperature Difference (degC),Temperature Difference (muV),Sample Purge Flow (mL/min)
8.89E-04,50.68204,11.48794,-7.30787,-0.02548738,-0.1234582,199.6638
0.008333334,50.66428,11.48794,-7.306769,-0.02538545,-0.1229584,173.4376
0.02083334,50.64789,11.48791,-7.30609,-0.02534206,-0.1227416,99.78722
0.02916666,50.64243,11.48778,-7.305795,-0.02533442,-0.1227003,99.98441
0.0375,50.6271,11.48757,-7.305474,-0.02532384,-0.1226447,100.0493
0.04583334,50.62404,11.48736,-7.305541,-0.02536349,-0.1228326,99.97981
0.05833332,50.60994,11.48702,-7.304942,-0.02532925,-0.1226607,100.0137
0.07083332,50.59388,11.48663,-7.305059,-0.02538887,-0.1229435,99.98045
0.07916666,50.58422,11.48638,-7.305218,-0.02544069,-0.1231904,99.99687
0.0875,50.57822,11.48614,-7.305236,-0.025472,-0.1233381,100.014
0.09583332,50.56854,11.48594,-7.304925,-0.02546016,-0.1232769,99.97108
0.1083334,50.55527,11.4857,-7.304399,-0.0254311,-0.1231304,100.0037
0.1208333,50.54266,11.48565,-7.303964,-0.02541503,-0.123047,100.0058
0.1291666,50.53598,11.4857,-7.303466,-0.02537596,-0.1228541,99.97079
0.1375,50.52453,11.48575,-7.303451,-0.02540234,-0.122978,100.0259
0.1458333,50.51934,11.48579,-7.303955,-0.02549702,-0.1234328,100.0097
0.1583333,50.50424,11.48586,-7.30378,-0.02551478,-0.1235132,100.0039
0.1708334,50.4893,11.48594,-7.30392,-0.02557473,-0.1237978,99.99649
0.1791666,50.48789,11.48596,-7.3041,-0.02562504,-0.1240378,99.97304
0.1875,50.47238,11.48599,-7.303766,-0.0256077,-0.1239501,100.0336
0.1958334,50.46604,11.48604,-7.303916,-0.02565536,-0.124177,100.0023
0.2083334,50.45322,11.48606,-7.304434,-0.02576528,-0.1247036,100.0079
0.2208333,50.44424,11.48604,-7.304986,-0.02587898,-0.1252485,99.96694
0.2291667,50.43819,11.48604,-7.304656,-0.02586089,-0.1251574,99.99126
0.2375,50.42696,11.48606,-7.304688,-0.0258905,-0.1252973,100.0304
0.2458334,50.4212,11.48606,-7.304785,-0.0259289,-0.1254797,99.9907
0.2583333,50.41122,11.48606,-7.30396,-0.0258547,-0.1251156,100.0055
0.2708334,50.3951,11.48607,-7.303218,-0.02579238,-0.1248091,99.98388
0.2791667,50.38912,11.48605,-7.302366,-0.02570204,-0.1243687,99.98803
0.2875,50.38619,11.48602,-7.301262,-0.02557789,-0.1237647,100.0048
0.2958333,50.38331,11.486,-7.300184,-0.02545446,-0.1231646,99.98608
0.3083334,50.37006,11.486,-7.298616,-0.02527674,-0.1223003,99.995
0.3208333,50.35937,11.48599,-7.297081,-0.02510464,-0.1214631,100.0398
0.3291667,50.35038,11.48601,-7.296003,-0.02498176,-0.1208657,100.0063
0.3375,50.35356,11.48604,-7.295612,-0.02494995,-0.120709,99.96697
0.3458333,50.34624,11.48606,-7.295166,-0.02490922,-0.1205094,100.013
0.3583334,50.34156,11.48607,-7.294147,-0.0247983,-0.1199693,100.0031
